Date,Open,High,Low,Close,Volume
2024-11-07,1439.87,1454.38,1430.72,1443.04,5954686
2024-11-08,1446.91,1454.81,1440.98,1445.58,5153641
2024-11-11,1429.95,1443.44,1415.44,1426.71,5672867
2024-11-12,1421.23,1432.87,1415.6,1418.5,4858032
2024-11-13,1420.12,1429.58,1409.51,1425.27,4323261
2024-11-14,1437.87,1438.94,1433.6,1433.73,5005028
2024-11-15,1437.48,1450.75,1435.11,1436.98,4877240
2024-11-18,1442.9,1448.08,1437.21,1438.71,5125973
2024-11-19,1448.41,1450.0,1431.59,1442.44,5393964
2024-11-20,1438.78,1439.42,1436.43,1436.67,5420761
2024-11-21,1449.22,1454.02,1439.54,1442.48,4222181
2024-11-22,1419.57,1430.27,1412.74,1423.01,5217435
2024-11-25,1426.38,1435.72,1418.72,1430.37,5425131
2024-11-26,1433.88,1438.82,1419.88,1433.87,4219255
2024-11-27,1431.77,1433.0,1423.37,1425.78,5531237
2024-11-28,1409.03,1418.11,1397.85,1411.68,5012769
2024-11-29,1400.12,1415.93,1392.45,1405.78,4140874
2024-12-02,1402.37,1403.98,1395.92,1398.03,5358891
2024-12-03,1387.11,1400.01,1379.38,1382.96,5082117
2024-12-04,1365.89,1378.22,1365.32,1370.55,4486236
2024-12-05,1383.6,1386.17,1377.07,1381.8,4829596
2024-12-06,1365.41,1368.11,1358.29,1363.86,4815447
2024-12-09,1341.38,1348.96,1337.4,1345.21,5669349
2024-12-10,1323.69,1340.57,1312.92,1328.98,4683639
2024-12-11,1312.79,1326.71,1306.08,1317.87,5340307
2024-12-12,1309.63,1316.24,1298.03,1311.09,4738165
2024-12-13,1325.14,1335.92,1319.69,1323.59,4623787
2024-12-16,1340.08,1349.09,1329.68,1338.87,4500323
2024-12-17,1327.46,1340.92,1320.97,1331.69,4877110
2024-12-18,1336.23,1341.88,1328.37,1335.23,5126966
2024-12-19,1344.3,1357.74,1336.38,1342.35,5026853
2024-12-20,1330.36,1345.77,1325.29,1334.53,5815131
2024-12-23,1322.82,1331.16,1320.38,1329.34,5177722
2024-12-24,1329.48,1338.65,1321.71,1329.54,5761380
2024-12-25,1323.07,1334.99,1320.37,1327.48,4462483
2024-12-26,1316.9,1326.97,1305.94,1319.87,4959072
2024-12-27,1325.86,1332.43,1315.79,1322.26,5201068
2024-12-30,1311.79,1322.59,1299.91,1308.19,5725140
2024-12-31,1320.88,1326.71,1307.16,1317.45,4891614
2025-01-01,1307.31,1317.13,1293.85,1303.01,4067592
2025-01-02,1299.23,1311.83,1291.94,1301.2,4246176
2025-01-03,1307.64,1321.72,1302.25,1311.09,4735326
2025-01-06,1325.61,1331.29,1319.07,1324.15,5645948
2025-01-07,1309.58,1314.21,1301.08,1313.43,4589478
2025-01-08,1312.58,1329.84,1303.29,1316.94,5201113
2025-01-09,1313.18,1326.12,1304.29,1308.49,4199701
2025-01-10,1298.58,1303.92,1283.15,1295.34,4581589
2025-01-13,1303.57,1319.79,1293.79,1308.45,5491903
2025-01-14,1298.74,1313.01,1290.86,1302.03,4298155
2025-01-15,1301.79,1310.22,1294.66,1304.81,5328813
2025-01-16,1318.95,1324.27,1312.13,1315.42,5456899
2025-01-17,1329.51,1343.9,1320.56,1331.25,4005186
2025-01-20,1349.47,1350.72,1344.42,1344.8,5331357
2025-01-21,1348.97,1351.74,1342.69,1350.89,4456822
2025-01-22,1372.78,1379.57,1359.07,1368.33,4594737
2025-01-23,1363.27,1370.99,1355.2,1362.21,4720874
